Selector,Status,Source,Context,Drift Count,Session Aging (s)
.dot-list__item::before,Isolated Variance,Foundation Computing Engineering.css,"{'content': '""""', 'position': 'absolute', 'left': '0', 'top': '8px', 'width': '6px', 'height': '6px', 'border-radius': '999px', 'background': '#A78BFA'}",8,0.15
.industry__group-label,Isolated Variance,Foundation Computing Engineering.css,"{'margin': '16px 0 8px', 'font-size': '12px', 'font-weight': '700', 'color': '#6B7280'}",4,0.15
.button--secondary-light,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css","{'border-color': '[course-template-v2.css]: rgba(255, 255, 255, 0.55) | [Foundation Computing Engineering.css]: None', 'background': '[course-template-v2.css]: transparent | [Foundation Computing Engineering.css]: rgba(255, 255, 255, 0.1)', 'border': '[course-template-v2.css]: None | [Foundation Computing Engineering.css]: 1px solid rgba(255, 255, 255, 0.25)'}",3,0.15
.topbar__icon-btn,Isolated Variance,course-template-v2.css,"{'width': '36px', 'height': '36px', 'display': 'inline-grid', 'place-items': 'center', 'background': 'transparent', 'border': '0', 'border-radius': '999px', 'color': '#fff', 'opacity': '0.8', 'cursor': 'pointer', 'font': 'inherit'}",11,0.15
.button--primary-purple,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'background': 'linear-gradient(90deg, #8B5CF6 0%, #7C3AED 100%)', 'color': '#fff', 'box-shadow': '0 6px 20px rgba(124, 58, 237, 0.35)'}",0,0.15
.user-custom--dark .section-header__sub,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'color': 'rgba(255, 255, 255, 0.8)'}",0,0.15
.ai-native__item--media:hover,Isolated Variance,course-template-v2.css,"{'transform': 'none', 'box-shadow': 'none'}",2,0.15
.outcomes,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css",{'gap': '[course-template-v2.css]: 24px | [Foundation Computing Engineering.css]: 20px'},1,0.15
.entry-reqs__intro,Isolated Variance,Foundation Computing Engineering.css,"{'margin': '0 0 16px', 'font-size': '14px', 'color': '#4B5563', 'line-height': '1.6'}",4,0.15
.course-hero .key-facts,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css",{'grid-area': 'facts'},0,0.15
.experience__item,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css",{'background': '[course-template-v2.css]: #fff | [Foundation Computing Engineering.css]: #FFF'},1,0.15
.careers,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css",{'gap': '[course-template-v2.css]: 24px | [Foundation Computing Engineering.css]: 32px'},1,0.15
.programme__learn,Isolated Variance,course-template-v2.css,"{'background': '#F5F3FF', 'border-radius': '16px', 'padding': '24px'}",3,0.15
.course-main__stack,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css",{'gap': '[course-template-v2.css]: 32px | [Foundation Computing Engineering.css]: 28px'},1,0.15
.section-header__body,Isolated Variance,course-template-v2.css,{'min-width': '0'},1,0.15
.outcomes__num,Isolated Variance,course-template-v2.css,"{'margin': '0 0 8px', 'font-family': '""Plus Jakarta Sans"", sans-serif', 'font-weight': '800', 'font-size': '22px', 'letter-spacing': '-0.3px', 'color': '#0B1020', 'line-height': '1.1'}",7,0.15
.outcomes__text,Isolated Variance,Foundation Computing Engineering.css,"{'margin': '16px 0 0', 'font-size': '14px', 'color': '#4B5563', 'line-height': '1.6'}",4,0.15
.career-roles__icon--red,Isolated Variance,course-template-v2.css,"{'background': '#FDECEC', 'color': '#E5252B'}",2,0.15
.partner-chips__item,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css",{'background': '[course-template-v2.css]: #fff | [Foundation Computing Engineering.css]: #FFF'},1,0.15
.experience__media,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css",{'border-radius': '[course-template-v2.css]: 12px 12px 0 0 | [Foundation Computing Engineering.css]: None'},1,0.15
.alumni,Isolated Variance,course-template-v2.css,"{'background': '#131A3D', 'border-radius': '16px', 'padding': '20px', 'color': '#fff', 'display': 'flex', 'flex-direction': 'column', 'gap': '16px'}",7,0.15
.career-roles__title,Isolated Variance,course-template-v2.css,"{'margin': '0', 'font-family': '""Plus Jakarta Sans"", sans-serif', 'font-size': '14px', 'font-weight': '700', 'color': '#1A2238', 'line-height': '1.3'}",6,0.15
.outcomes__intro,Isolated Variance,Foundation Computing Engineering.css,{'padding': '20px 8px'},1,0.15
.button--primary-light,Isolated Variance,course-template-v2.css,"{'background': '#fff', 'color': '#0B1020'}",2,0.15
.alumni__arrow,Isolated Variance,course-template-v2.css,"{'width': '28px', 'height': '28px', 'border': '0', 'background': 'rgba(255, 255, 255, 0.08)', 'color': '#fff', 'border-radius': '999px', 'display': 'grid', 'place-items': 'center', 'cursor': 'pointer', 'font': 'inherit', 'transition': 'background 0.15s ease'}",11,0.15
.course-hero__body,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css","{'grid-template-areas': '[course-template-v2.css]: ""lede"" ""ctas"" ""facts"" ""rank"" | [Foundation Computing Engineering.css]: ""lede"" ""ctas"" ""facts-title"" ""facts"" ""rank""'}",1,0.15
.topbar__nav-link:focus-visible,Isolated Variance,course-template-v2.css,"{'outline': '3px solid #fff', 'outline-offset': '2px', 'border-radius': '4px'}",3,0.15
.key-facts,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'list-style': 'none', 'margin': '0', 'padding': '0', 'display': 'flex', 'flex-wrap': 'wrap', 'gap': '16px'}",0,0.15
.apply-banner__cta,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css","{'width': '[course-template-v2.css]: 100% | [Foundation Computing Engineering.css]: None', 'flex-shrink': '[course-template-v2.css]: None | [Foundation Computing Engineering.css]: 0'}",2,0.15
.info-card__track-label:first-of-type,Isolated Variance,Foundation Computing Engineering.css,{'margin-top': '0'},1,0.15
.course-hero,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css","{'background': '[course-template-v2.css]: None | [Foundation Computing Engineering.css]: linear-gradient(135deg, #0B0E2E 0%, #1A1F4A 50%, #2D2570 100%)'}",1,0.15
.experience__title,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'margin': '0 0 4px', 'font-family': '""Plus Jakarta Sans"", sans-serif', 'font-weight': '800', 'font-size': '14px', 'letter-spacing': 'normal', 'line-height': '1.04', 'color': '#0B1020'}",0,0.15
.in-demand,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css",{'height': '[course-template-v2.css]: 100% | [Foundation Computing Engineering.css]: None'},1,0.15
.footer__brand-desc,Isolated Variance,course-template-v2.css,"{'margin': '24px 0 22px', 'max-width': '220px', 'font-size': '12px', 'line-height': '1.5', 'color': 'rgba(255, 255, 255, 0.65)'}",5,0.15
.industry__col-title,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css","{'line-height': '[course-template-v2.css]: 1.04 | [Foundation Computing Engineering.css]: None', 'font-size': '[course-template-v2.css]: 17px | [Foundation Computing Engineering.css]: 15px', 'color': '[course-template-v2.css]: #4B5563 | [Foundation Computing Engineering.css]: #0B1020', 'margin': '[course-template-v2.css]: 0 | [Foundation Computing Engineering.css]: 0 0 12px', 'font-family': '[course-template-v2.css]: ""Plus Jakarta Sans"", sans-serif | [Foundation Computing Engineering.css]: None', 'letter-spacing': '[course-template-v2.css]: normal | [Foundation Computing Engineering.css]: None', 'font-weight': '[course-template-v2.css]: 800 | [Foundation Computing Engineering.css]: 700'}",7,0.15
.info-card__track-label--purple,Isolated Variance,Foundation Computing Engineering.css,{'color': '#6D28D9'},1,0.15
.ai-native__desc,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css","{'margin': '[course-template-v2.css]: 0 | [Foundation Computing Engineering.css]: 8px 0 0', 'font-size': '[course-template-v2.css]: 13px | [Foundation Computing Engineering.css]: 12px'}",2,0.15
.check-list--blue .check-list__item::before,Isolated Variance,Foundation Computing Engineering.css,{'background': '#1F5CFF'},1,0.15
.section-card__intro,Isolated Variance,Foundation Computing Engineering.css,"{'margin': '0 0 28px', 'max-width': '860px', 'font-size': '15px', 'color': '#4B5563', 'line-height': '1.6'}",5,0.15
.user-custom--hero,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css",{},0,0.15
.section-link,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css","{'align-items': '[course-template-v2.css]: None | [Foundation Computing Engineering.css]: center', 'margin-top': '[course-template-v2.css]: 20px | [Foundation Computing Engineering.css]: 24px', 'display': '[course-template-v2.css]: inline-block | [Foundation Computing Engineering.css]: inline-flex', 'gap': '[course-template-v2.css]: None | [Foundation Computing Engineering.css]: 4px'}",4,0.15
.user-custom--apply-banner,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css",{},0,0.15
.ai-native__title,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css","{'line-height': '[course-template-v2.css]: 1.3 | [Foundation Computing Engineering.css]: 1.35', 'font-size': '[course-template-v2.css]: 15px | [Foundation Computing Engineering.css]: 14px', 'margin': '[course-template-v2.css]: 0 0 6px | [Foundation Computing Engineering.css]: 0', 'font-family': '[course-template-v2.css]: ""Plus Jakarta Sans"", sans-serif | [Foundation Computing Engineering.css]: None', 'letter-spacing': '[course-template-v2.css]: normal | [Foundation Computing Engineering.css]: None', 'font-weight': '[course-template-v2.css]: 800 | [Foundation Computing Engineering.css]: 700'}",6,0.15
.button--secondary-blue,Isolated Variance,course-template-v2.css,"{'background': 'transparent', 'color': '#1F5CFF', 'border-color': '#1F5CFF'}",3,0.15
.outcomes__stats,Isolated Variance,course-template-v2.css,"{'list-style': 'none', 'margin': '0', 'padding': '0', 'display': 'grid', 'grid-template-columns': '1fr', 'gap': '16px'}",6,0.15
.outcomes__lede,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'margin': '0', 'font-family': '""Plus Jakarta Sans"", sans-serif', 'font-weight': '700', 'font-size': '18px', 'letter-spacing': '-0.2px', 'color': '#1A2238', 'line-height': '1.4'}",0,0.15
.outcomes__icon,Isolated Variance,course-template-v2.css,"{'width': '60px', 'height': '60px', 'margin': '0 auto 12px', 'display': 'grid', 'place-items': 'center', 'border-radius': '999px'}",6,0.15
.progression__eyebrow,Isolated Variance,Foundation Computing Engineering.css,"{'margin': '0', 'font-size': '11px', 'font-weight': '700', 'letter-spacing': '1.4px', 'color': 'rgba(255, 255, 255, 0.85)'}",5,0.15
.button:hover,Isolated Variance,course-template-v2.css,{'transform': 'translatey(-1px)'},1,0.15
.user-custom--dark,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css",{},0,0.15
.brand--footer:focus-visible,Isolated Variance,course-template-v2.css,"{'outline': '3px solid rgba(255, 255, 255, 0.6)', 'outline-offset': '2px', 'border-radius': '4px'}",3,0.15
.topbar__actions,Isolated Variance,course-template-v2.css,"{'display': 'flex', 'align-items': 'center', 'gap': '14px'}",3,0.15
.programme__lede,Isolated Variance,course-template-v2.css,"{'margin': '0', 'font-family': '""Plus Jakarta Sans"", sans-serif', 'font-weight': '700', 'font-size': '26px', 'letter-spacing': '-0.3px', 'color': '#4B5563', 'line-height': '1.35'}",7,0.15
.footer,Isolated Variance,course-template-v2.css,"{'background': '#06091F', 'color': '#fff', 'padding': '64px 0 24px'}",3,0.15
.footer__link,Isolated Variance,course-template-v2.css,"{'color': 'rgba(255, 255, 255, 0.85)', 'font-size': '13px', 'text-decoration': 'none', 'transition': 'color 0.15s ease'}",4,0.15
body,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'font-family': '""Manrope"", system-ui, -apple-system, sans-serif', 'font-size': '15px', 'line-height': '1.5', 'color': '#0B1020', 'background': '#F8F9FC', '-webkit-font-smoothing': 'antialiased', 'text-wrap': 'pretty'}",0,0.15
.brand--footer .brand__name,Isolated Variance,course-template-v2.css,{'font-size': '22px'},1,0.15
.alumni__arrow:hover,Isolated Variance,course-template-v2.css,"{'background': 'rgba(255, 255, 255, 0.18)'}",1,0.15
.user-custom--industry,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css",{},0,0.15
.footer__bottom-item,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css",{},0,0.15
.user-custom--ai-native,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css",{},0,0.15
.programme__media,Isolated Variance,course-template-v2.css,"{'margin': '0', 'width': '100%', 'min-height': '240px', 'border-radius': '16px', 'overflow': 'hidden', 'order': '-1'}",6,0.15
.brand--mini:focus-visible,Isolated Variance,course-template-v2.css,"{'outline': '3px solid #7C3AED', 'outline-offset': '2px', 'border-radius': '4px'}",3,0.15
.topbar__nav,Isolated Variance,course-template-v2.css,"{'list-style': 'none', 'margin': '0', 'padding': '0', 'display': 'flex', 'flex-wrap': 'wrap', 'justify-content': 'center', 'gap': '36px', 'font-size': '14px', 'font-weight': '500'}",9,0.15
.course-hero__ctas,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'grid-area': 'ctas', 'margin': '0', 'display': 'grid', 'grid-template-columns': '1fr', 'gap': '12px'}",0,0.15
.dot-list__item,Isolated Variance,Foundation Computing Engineering.css,"{'position': 'relative', 'padding-left': '16px', 'font-size': '14px', 'color': '#4B5563', 'line-height': '1.5'}",5,0.15
.course-hero__inner,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'width': '100%', 'max-width': '100%', 'margin': '0 auto', 'padding': '0 32px'}",0,0.15
.user-custom,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css",{},0,0.15
.user-custom--entry-reqs,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css",{},0,0.15
.industry__col,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css","{'flex-direction': '[course-template-v2.css]: column | [Foundation Computing Engineering.css]: None', 'border-radius': '[course-template-v2.css]: None | [Foundation Computing Engineering.css]: 16px', 'padding': '[course-template-v2.css]: None | [Foundation Computing Engineering.css]: 20px', 'gap': '[course-template-v2.css]: 16px | [Foundation Computing Engineering.css]: None', 'display': '[course-template-v2.css]: flex | [Foundation Computing Engineering.css]: None'}",5,0.15
.in-demand__desc,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'margin': '0', 'font-size': '20px', 'color': '#1A2238', 'line-height': '1.5'}",0,0.15
.footer__bottom-links,Isolated Variance,course-template-v2.css,"{'list-style': 'none', 'margin': '0', 'padding': '0', 'display': 'flex', 'flex-wrap': 'wrap', 'gap': '24px'}",6,0.15
.user-custom--course-hero,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css",{},0,0.15
.course-hero__heading,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'margin': '0 0 24px', 'line-height': '1.05', 'color': '#B5A0FF'}",0,0.15
.course-hero .rank-card,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'grid-area': 'rank', 'align-self': 'start'}",0,0.15
.info-card__track-label--blue,Isolated Variance,Foundation Computing Engineering.css,{'color': '#2563EB'},1,0.15
"*, *::before, *::after",Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css",{'box-sizing': 'border-box'},0,0.15
.key-facts__item,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'display': 'flex', 'align-items': 'center', 'gap': '12px', 'flex': '1 1 calc(50% - 16px)'}",0,0.15
.info-card__track-label,Isolated Variance,Foundation Computing Engineering.css,"{'margin': '16px 0 8px', 'font-size': '12px', 'font-weight': '700'}",3,0.15
.topbar__nav-item,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css",{},0,0.15
.career-roles__icon--neutral,Isolated Variance,course-template-v2.css,"{'background': '#F1F2F6', 'color': '#5B6478'}",2,0.15
.industry,Structural Drift,"course-template-v2.css, Foundation Computing Engineering.css","{'align-items': '[course-template-v2.css]: stretch | [Foundation Computing Engineering.css]: start', 'gap': '[course-template-v2.css]: 24px | [Foundation Computing Engineering.css]: 28px'}",2,0.15
.section-link:focus-visible,Identical Match (Ready),"course-template-v2.css, Foundation Computing Engineering.css","{'outline': '3px solid #7C3AED', 'outline-offset': '2px', 'border-radius': '4px'}",0,0.15
.industry__lede,Isolated Variance,course-template-v2.css,"{'margin': '0', 'font-family': '""Plus Jakarta Sans"", sans-serif', 'font-weight': '800', 'font-size': '22px', 'letter-spacing': '-0.02em', 'color': '#1A2238', 'line-height': '1.4'}",7,0.15
.outcomes__stat--lede,Isolated Variance,course-template-v2.css,"{'background': 'transparent', 'border': '0', 'box-shadow': 'none', 'text-align': 'left', 'padding': '20px 0 20px 8px', 'justify-content': 'flex-start'}",6,0.15
